what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779408321
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779412549
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1303779416699
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1303779421566
no handler,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1303779435824
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1303779444103
no handler,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1303779452355
no handler,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1303779457347
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779459623
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779462587
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779463585
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779471962
no handler,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1303779475035
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779477313
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779480620
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779490308
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779572223
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.window.maximizePart,1303779574563
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1303779585530
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1303779586591
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1303779586685
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779593361
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779595358
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779598104
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303779599789
