what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1303843702092
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1303843702092
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1303843702092
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1303843702092
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.core,1303843702092
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1303843702092
started,bundle,org.eclipse.mylyn.commons.net,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.commons.net,1303843702092
started,bundle,org.eclipse.mylyn.commons.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.commons.ui,1303843702092
started,bundle,org.eclipse.mylyn.compatibility,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.compatibility,1303843702092
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1303843702108
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1303843702108
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1303843702108
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1303843702108
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1303843702108
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1303843702108
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1303843702108
started,bundle,com.bbn.jena,2.0.2,com.bbn.jena,1303843702108
started,bundle,com.bbn.swede.core,2.0.2,com.bbn.swede.core,1303843702108
started,bundle,com.bbn.swede.editor,2.0.2,com.bbn.swede.editor,1303843702108
started,bundle,com.bbn.swede.library.dumpont,2.0.2,com.bbn.swede.library.dumpont,1303843702108
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303843735460
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303844314750
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303844316170
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303844324488
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303844342834
