what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1304289168578
activated,editor,com.bbn.swede.editor,2.0.2,com.bbn.swede.editor.OWLEditor,1304289170800
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1304289172913
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1304289173825
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1304289178435
activated,editor,com.bbn.swede.editor,2.0.2,com.bbn.swede.editor.OWLEditor,1304289181402
activated,editor,com.bbn.swede.editor,2.0.2,com.bbn.swede.editor.OWLEditor,1304289185612
activated,editor,com.bbn.swede.editor,2.0.2,com.bbn.swede.editor.OWLEditor,1304289186854
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1304289194346
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289194855
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289195670
activated,editor,com.bbn.swede.editor,2.0.2,com.bbn.swede.editor.OWLEditor,1304289197723
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1304289198669
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1304289261433
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1304289265465
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289269346
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289272206
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289273851
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289274668
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289277236
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289278126
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1304289280455
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1304289280604
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1304289282067
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1304289285159
